Pizza,🍔Food,150,2026-01-03
Bus Ticket,🚕Transportation,50,2026-01-04
Rent,🏠Housing,2000,2026-01-05
Books,📚Education & Learning,500,2026-01-06
Movie,🎮Entertainment,300,2026-01-07
Clothes,🛍️Shopping,800,2026-01-08
Medicine,💊Health,250,2026-01-09
Laptop Bag,💼Others,1200,2026-01-10
Groceries,🍔Food,600,2026-01-11
Taxi,🚕Transportation,120,2026-01-12
Electric Bill,🏠Housing,900,2026-01-13
Online Course,📚Education & Learning,1500,2026-01-14
Concert,🎮Entertainment,700,2026-01-15
Shoes,🛍️Shopping,1200,2026-01-16
Doctor Visit,💊Health,500,2026-01-17
Stationery,💼Others,300,2026-01-18
Dinner,🍔Food,450,2026-01-19
Train Ticket,🚕Transportation,200,2026-01-20
Water Bill,🏠Housing,400,2026-01-21
Exam Fee,📚Education & Learning,800,2026-01-22
Game Subscription,🎮Entertainment,150,2026-01-23
Jacket,🛍️Shopping,950,2026-01-24
Pharmacy,💊Health,350,2026-01-25

